topic,languages,main_speaker,duration,film_date,published_date,comments,views
Society,29,Jared Diamond,1101,2003,2008,212,1636425
Art,49,Rives,197,2008,2008,87,1594241
Technology&Science ,20,Zach Kaplan + Keith Schacht,946,2005,2008,41,411647
Art,20,Newton Aduaka,1124,2007,2008,37,330238
Self-development,30,Jackie Tabick,946,2009,2008,76,176245
Self-development,38,Dayananda Saraswati,1014,2009,2008,99,273396
Self-development,20,James Forbes,1118,2009,2008,30,204410
Self-development,47,Feisal Abdul Rauf,1007,2009,2008,152,433202
Self-development,27,Robert Thurman,1087,2009,2008,46,304800
Society,21,Robert Wright,1016,2009,2008,82,236002
Technology&Science ,20,Graham Hawkes,731,2005,2008,30,375491
Society,20,James Surowiecki,1019,2005,2008,27,429084
Environment,28,John Francis,1164,2008,2008,108,723599
Education,26,Tim Brown,1678,2008,2008,139,1893522
Technology&Science ,23,Luca Turin,953,2005,2008,65,487630
Society,25,Lee Smolin,745,2003,2008,57,258922
Technology&Science ,21,Charles Elachi,1697,2008,2008,29,558734
Technology&Science ,17,Stewart Brand,1403,2004,2008,51,242975
Self-development,23,Isaac Mizrahi,856,2008,2008,89,900005
Society,19,Franco Sacchi,1054,2007,2008,36,223082
Technology&Science ,27,George Smoot,1140,2008,2008,255,1630525
Technology&Science ,23,Bill Joy,1142,2006,2008,36,487378
Society,25,Dan Barber,1224,2008,2008,226,1294705
Environment,43,Andy Hobsbawm,202,2008,2008,33,429967
Technology&Science ,37,Gregory Petsko,227,2008,2008,63,909508
Technology&Science ,20,Richard Preston,1171,2008,2008,66,644637
Technology&Science ,19,Philip Rosedale,1711,2008,2008,92,554794
Technology&Science ,27,Larry Burns,552,2005,2008,127,565020
Technology&Science ,29,Nick Sears,238,2007,2008,19,457492
Art,21,David Holt,1517,2004,2008,31,512588
Art,26,Eva Zeisel,1089,2001,2008,58,438972
Environment,25,Dennis vanEngelsdorp,988,2008,2008,111,590570
Technology&Science ,33,Jay Walker,429,2008,2008,43,482996
Self-development,34,Benjamin Wallace,880,2008,2008,99,1848521
Technology&Science ,20,Penelope Boston,1109,2006,2008,42,651151
Technology&Science ,20,Steven Strogatz,1318,2004,2008,94,642201
Society,30,Nicholas Negroponte,408,2008,2008,116,363202
Society,19,Jennifer 8. Lee,998,2008,2008,84,1285775
Technology&Science ,19,Kary Mullis,1772,2002,2009,116,532759
Technology&Science ,20,John Maeda,1026,2008,2009,26,241858
Technology&Science ,20,Paul Sereno,1306,2005,2009,24,764982
Technology&Science ,20,Paul Moller,939,2004,2009,124,417728
Technology&Science ,19,Greg Lynn,1134,2005,2009,50,346702
Art,18,Rob Forbes,937,2006,2009,24,368513
Technology&Science ,25,Scott McCloud,1028,2005,2009,68,1022333
Art,22,Peter Reinhart,934,2008,2009,42,817651
Economy,22,Joseph Pine,859,2004,2009,89,930647
Art,17,Paula Scher,1316,2008,2009,51,505714
Art,21,David Carson,1359,2003,2009,36,774492
Society,18,Jamais Cascio,975,2006,2009,22,212202
Technology&Science ,21,Barry Schuler,1286,2008,2009,117,389420
Society,23,Sherwin Nuland,756,2003,2009,35,326663
Technology&Science ,22,Woody Norris,829,2004,2009,144,1205867
Technology&Science ,22,Peter Ward,1181,2008,2009,42,837508
Technology&Science ,30,Aimee Mullins,1345,1998,2009,67,1013266
Health&Medical,21,Joe DeRisi,965,2006,2009,50,401015
Art,22,Natalie MacMaster,1127,2003,2009,53,1065681
Technology&Science ,23,Bill Gross,1195,2003,2009,90,612934
Society,35,Bill Gates,1216,2009,2009,468,2634359
Self-development,49,Elizabeth Gilbert,1149,2009,2009,1604,13155478
Technology&Science ,29,David Merrill,429,2009,2009,147,1765153
Society,38,Barry Schwartz,1245,2009,2009,505,3303825
Technology&Science ,22,Juan Enriquez,1130,2009,2009,448,2954577
Education,27,José Antonio Abreu,1018,2009,2009,135,942604
Art,29,Gustavo Dudamel and the Teresa Carreño Youth Orchestra,1026,2009,2009,204,2062308
Environment,31,Sylvia Earle,1096,2009,2009,168,1139732
Technology&Science ,26,Jill Tarter,1283,2009,2009,201,1263442
Technology&Science ,23,Ed Ulbrich,1087,2009,2009,59,907147
Environment,35,Charles Moore,440,2009,2009,165,1097511
Technology&Science ,21,Richard Pyle,1008,2004,2009,30,352252
Art,24,Miru Kim,870,2008,2009,74,582812
Technology&Science ,30,Brenda Laurel,788,1998,2009,91,382517
Environment,25,Willie Smits,1242,2009,2009,156,677150
Environment,20,Nalini Nadkarni,990,2009,2009,61,398835
Society,26,Mike Rowe,1202,2008,2009,409,4434674
Art,30,Don Norman,761,2003,2009,45,1248458
Technology&Science ,43,Pattie Maes + Pranav Mistry,522,2009,2009,768,9753630
Self-development,42,Aimee Mullins,598,2009,2009,223,3472415
Education,29,Stuart Brown,1602,2008,2009,152,1625469
