date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:32	19466/19466	---MCZ	200	added ('OK')	text/html	etag:W/%221c6a3be268de8d32e82ebaa94d3c0190%22	http://jasoseol.com/blog/category?page=2	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/category4658.html	(from http://jasoseol.com/blog/category)
11:33:33	19428/19428	---MCZ	200	added ('OK')	text/html	etag:W/%22307acb19b70a3fdd3bb05ca81fa4e84e%22	http://jasoseol.com/blog/category?page=3	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/category9ba9.html	(from http://jasoseol.com/blog/category)
11:33:33	17982/17982	---M-Z	200	added ('OK')	text/html	etag:W/%22785f75801d05c26eeacc5a57735ba55e%22	http://jasoseol.com/blog/category?page=4	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/categoryfdb0.html	(from http://jasoseol.com/blog/category)
11:33:34	17824/17824	---MCZ	200	added ('OK')	text/html	etag:W/%22cd8e1b8501737c48fab5c335695d7fed%22	http://jasoseol.com/blog/category?page=5	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/categoryaf4d.html	(from http://jasoseol.com/blog/category)
11:33:35	13150/13150	---M--	200	added ('OK')	image/png	etag:%22a65b2e96209697914bb200e8ac254bcb%22	http://jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/044/thumb/main.png?1518604656	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/044/thumb/mainc3e1.png	(from http://jasoseol.com/blog/category)
11:33:35	9226/9226	---MCZ	200	added ('OK')	text/html	etag:W/%2268af5db1431c5b57ae797361e5f1420f%22	http://jasoseol.com/blog/category?page=6	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/categoryc575.html	(from http://jasoseol.com/blog/category)
11:33:35	26724/26724	---MCZ	200	added ('OK')	text/html	etag:W/%224b3e98e0dcb589bea55e1a4f2fe865fa%22	http://jasoseol.com/blog/post/18	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/18.html	(from http://jasoseol.com/blog/category/1)
11:33:36	24553/24553	---M-Z	200	added ('OK')	text/html	etag:W/%22a9369750a064d7d66819eba85865eccf%22	http://jasoseol.com/blog/post/15	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/15.html	(from http://jasoseol.com/blog/category/1)
11:33:38	12466/12466	---M--	200	added ('OK')	image/png	etag:%229e8349f61f07cd21a26b4e4056300bd0%22	http://jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/018/thumb/%eb%8c%80%ec%a7%80_8.png?1489068491	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/018/thumb/%eb%8c%80%ec%a7%80_82687.png	(from http://jasoseol.com/blog/category/1)
11:33:38	10904/10904	---M--	200	added ('OK')	image/png	etag:%2290707055c321cab1d9b4bab18c0993e0%22	http://jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/015/thumb/%eb%8c%80%ec%a7%80_26.png?1488942567	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/015/thumb/%eb%8c%80%ec%a7%80_265fda.png	(from http://jasoseol.com/blog/category/1)
